PublishDate,Source,Type,Title,Summary,Link
2025-09-19,RefIndustry,Industry News,Phononic licenses ACS cooling platform to US-based cold chain start-up,"Phononic has entered into an exclusive cold chain licensing agreement with California-based start-up Peltier Technology, Inc. Under the deal, Peltier will commercialize Phononic’s Active Cooling Sol",https://refindustry.com/news/cold-chain/phononic-licenses-acs-cooling-platform-to-us-based-cold-chain-start-up
2025-09-19,RefIndustry,Industry News,Carrier launches TechVantage Ignite to train U.S. HVAC technicians,"Carrier Commercial Service and Automated Logic Field, both part of Carrier Global Corporation, have launched TechVantage Ignite, a new program to train future commercial HVAC technicians and controls",https://refindustry.com/news/market-news/carrier-launches-techvantage-ignite-to-train-u-s-hvac-technicians
2025-09-19,RefIndustry,Industry News,Politecnico di Torino and ATF sign agreement on HVAC/R research and training,"Politecnico di Torino and the Italian Association of Refrigeration Technicians (ATF) have signed a memorandum of understanding aimed at strengthening collaboration in research, training, and innovatio",https://refindustry.com/news/market-news/politecnico-di-torino-and-atf-sign-agreement-on-hvac-r-research-and-training
2025-09-19,RefIndustry,Industry News,"Solid-State Cooling Market to Expand Rapidly Through 2036, Report Finds","The global advanced solid-state cooling market is set for significant growth between 2026 and 2036, according to a new report published by ResearchAndMarkets.com. The study highlights increasing d",https://refindustry.com/news/market-research/solid-state-cooling-market-to-expand-rapidly-through-2036-report-finds
2025-09-18,RefIndustry,Industry News,"XNRGY expands U.S. operations with new 330,000 sq ft facility in Arizona","XNRGY Climate Systems has announced the construction of a new 330,000 sq ft (approx. 30,660 m²) manufacturing facility in Mesa, Arizona. The new site, named Mesa 2, will support the production of XNR",https://refindustry.com/news/market-news/xnrgy-expands-u-s-operations-with-new-330-000-sq-ft-facility-in-arizona
2025-09-18,RefIndustry,Industry News,NCLA Seeks Rehearing in D.C. Circuit Over EPA’s HFC Market Allocation Rule,"The New Civil Liberties Alliance (NCLA) has filed a petition for en banc rehearing in the U.S. Court of Appeals for the D.C. Circuit, challenging the Environmental Protection Agency’s (EPA) regulati",https://refindustry.com/news/market-news/ncla-seeks-rehearing-in-d-c-circuit-over-epa-s-hfc-market-allocation-rule
2025-09-18,RefIndustry,Industry News,Eberspaecher launches propane-based AC systems for buses,Eberspaecher has introduced two roof-mounted air-conditioning systems using propane (R290) for buses. The AC135 and AC138 EVO models are available for both factory installation and retrofitting in,https://refindustry.com/news/new-items/eberspaecher-launches-propane-based-ac-systems-for-buses
2025-09-18,RefIndustry,Industry News,AHRI opens ASEAN regional office in Singapore to expand certification services,"The Air-conditioning, Heating, and Refrigeration Institute (AHRI) has opened a new office in Singapore to support the growing needs of its members and certification program participants across the",https://refindustry.com/news/market-news/ahri-opens-asean-regional-office-in-singapore-to-expand-certification-services
2025-09-19,RefIndustry,Industry News,Phononic licenses ACS cooling platform to US-based cold chain start-up,"Phononic has entered into an exclusive cold chain licensing agreement with California-based start-up Peltier Technology, Inc. Under the deal, Peltier will commercialize Phononic’s Active Cooling Sol",https://refindustry.com/news/cold-chain/phononic-licenses-acs-cooling-platform-to-us-based-cold-chain-start-up
2025-09-19,RefIndustry,Industry News,Carrier launches TechVantage Ignite to train U.S. HVAC technicians,"Carrier Commercial Service and Automated Logic Field, both part of Carrier Global Corporation, have launched TechVantage Ignite, a new program to train future commercial HVAC technicians and controls",https://refindustry.com/news/market-news/carrier-launches-techvantage-ignite-to-train-u-s-hvac-technicians
