PublishDate,Title,Source,Link,Summary
2025-08-17,"Over 600,000 minifridges recalled",CoolingPost-World,https://www.coolingpost.com/world-news/over-600000-minifridges-recalled/,"USA: Over 600,000 Frigidaire-brand minifridges have been recalled in the USA after reports of short circuits causing more than $700,000 of property damage."
2025-08-16,AC users warned of risks after wildfires,CoolingPost-World,https://www.coolingpost.com/world-news/ac-users-warned-of-risks-after-wildfires/,"SPAIN: With firefighters continuing to battle 14 major blazes across Spain, home and business owners are being advised of precautions to take with their air conditioning systems."
2025-08-15,Fourth person dies in New York LD outbreak,CoolingPost-World,https://www.coolingpost.com/world-news/fourth-person-dies-in-new-york-ld-outbreak/,USA: A fourth person is reported to have died from the outbreak of legionnaires’ disease in New York City's Harlem neighbourhood.
2025-08-14,GE pledges $3bn US investment,CoolingPost-World,https://www.coolingpost.com/world-news/ge-pledges-3bn-us-investment/,USA: GE Appliances has revealed that it will invest more than $3bn over the next five years in its US operations.
2025-08-14,Samsung approves Chemours immersion cooling fluid,CoolingPost-World,https://www.coolingpost.com/world-news/samsung-approves-chemours-immersion-cooling-fluid/,"USA: Chemours has revealed that its Opteon two-phase immersion cooling fluid has been qualified by Samsung Electronics, following testing by the Korean computer manufacturer."
2025-08-13,Triton sells Kelvion to Apollo funds,CoolingPost-World,https://www.coolingpost.com/world-news/triton-sells-kelvion-to-apollo-funds/,GERMANY: US asset management firm Apollo is to acquire a majority stake in German heat exchanger products manufacturer Kelvion.
2025-08-13,Trane Technologies launches BrainBox AI Lab,CoolingPost-World,https://www.coolingpost.com/world-news/trane-technologies-launches-brainbox-ai-lab/,"IRELAND: Trane Technologies has announced the launch of the BrainBox AI Lab to serve as a hub for research into furthering intelligent, efficient and sustainable building operations."
2025-08-12,Stallion plans R32 plant in Rajasthan,CoolingPost-World,https://www.coolingpost.com/world-news/stallion-plans-r32-plant-in-rajasthan/,"INDIA: Stallion India Fluorochemicals, a Mumbai-based supplier of refrigerants, is to build a $13.7m R32 plant in the Bhilwara district of Rajasthan."
2025-08-12,Kelvion expands to meet data centre demand,CoolingPost-World,https://www.coolingpost.com/world-news/kelvion-expands-to-meet-data-centre-demand/,"GERMANY: Kelvion has announced the addition of 55,000m² of new production space at its factories in Tulsa, Oklahoma and Opole, Poland, to support demand for data centre cooling solutions."
2025-08-11,Daikin heat pumps for Ukrainian schools,CoolingPost-World,https://www.coolingpost.com/world-news/daikin-heat-pumps-for-ukrainian-schools/,"BELGIUM: Daikin Europe has supplied heat pump systems, air conditioners, and air purifiers to schools in Ukraine to help rebuild critical public infrastructure damaged by the war."
2025-08-11,Aira announces further €150m investment,CoolingPost-World,https://www.coolingpost.com/world-news/aira-announces-further-e150m-investment/,SWEDEN: Swedish heat pump company Aira has announced a further €150m of equity financing expand its European to operations and launch new innovations.
